Gene	sgRNA	Top.beta	Top.z	Top.p.value	Top.fdr	Top.wald.p.value	Top.wald.fdr
ENSMUST00000041096_Pcsk1n	6	0.081797	2.2325	0.040717	0.21477	0.025583	0.14911
ENSMUST00000055104_Tceal1	6	-0.016058	-0.37302	0.79898	0.88656	0.70913	0.83787
ENSMUST00000169457_Rpl36a	6	-0.059937	-1.6251	0.20282	0.45387	0.10414	0.32152
ENSMUST00000136348_Bcorl1	6	0.21959	4.4075	5.1216e-4	0.015385	1.0456e-5	4.8036e-4
ENSMUST00000134672_BC065397	6	-0.050213	-1.6503	0.28425	0.53623	0.098874	0.31431
ENSMUST00000096368_Gspt2	6	-0.064769	-2.2279	0.16876	0.40805	0.025887	0.14976
ENSMUST00000101388_Zxdb	6	0.056149	1.2548	0.11677	0.35038	0.20956	0.44474
ENSMUST00000101560_Zfp449	6	-0.02717	-0.55281	0.58592	0.76522	0.58039	0.75503
ENSMUST00000068106_Smim10l2a	6	0.055356	1.6857	0.12036	0.35606	0.091853	0.30921
ENSMUST00000033418_Il13ra1	6	-0.010688	-0.3218	0.90653	0.94886	0.74761	0.8585
ENSMUST00000074950_Hnrnph2	6	-0.0052805	-0.13576	0.98848	0.99332	0.89201	0.93889
ENSMUST00000124226_Armcx4	6	0.0036756	0.088573	0.79923	0.88656	0.92942	0.95795
ENSMUST00000143142_Ints6l	6	-0.068843	-1.8436	0.14622	0.39044	0.065248	0.26296
ENSMUST00000137173_Armcx1	6	-4.7365e-4	-0.01061	0.88809	0.94432	0.99153	0.99716
ENSMUST00000139163_Gm14634	6	-0.076598	-1.9739	0.10525	0.34191	0.048395	0.22103
ENSMUST00000121924_AA414768	6	0.060024	1.518	0.10038	0.33447	0.12901	0.35857
ENSMUST00000081834_Armcx3	6	-0.028327	-0.55049	0.56748	0.75169	0.58199	0.75503
ENSMUST00000115258_Zcchc12	6	0.15538	2.6131	0.0012804	0.027027	0.0089724	0.077171
ENSMUST00000119809_Gm14660	6	-0.062813	-1.0746	0.18054	0.4247	0.28254	0.51437
ENSMUST00000033430_Rab33a	6	-0.068986	-1.8694	0.1452	0.39044	0.061564	0.2544
ENSMUST00000125644_Plp1	6	-0.012074	-0.29735	0.87785	0.94047	0.7662	0.86474
ENSMUST00000059808_H2bfm	6	0.038831	0.77921	0.24149	0.49632	0.43585	0.65037
ENSMUST00000127521_5730405O15Rik	6	-0.038332	-0.46003	0.41024	0.63651	0.6455	0.79894
ENSMUST00000126147_Lonrf3	6	0.045979	1.0365	0.17721	0.42061	0.29998	0.52648
ENSMUST00000113067_Zcchc18	6	-0.113	-3.4249	0.022791	0.17282	6.1509e-4	0.013725
ENSMUST00000047852_Fam199x	6	-0.12444	-2.8515	0.015877	0.16522	0.0043515	0.053102
ENSMUST00000124097_Usp9x	6	0.012439	0.32281	0.62919	0.78567	0.74684	0.8585
ENSMUST00000113052_Nrk	6	-0.30985	-5.1187	0	0	3.0766e-7	3.0035e-5
ENSMUST00000145552_Gm14662	6	0.049056	1.679	0.15467	0.39868	0.093147	0.31013
ENSMUST00000073339_Pgrmc1	6	0.010162	0.20517	0.67042	0.80184	0.83744	0.90266
ENSMUST00000120557_Rpl3-ps1	6	0.028709	0.79051	0.35903	0.60472	0.42923	0.64716
ENSMUST00000113046_4933428M09Rik	6	0.0082437	0.20623	0.7073	0.83379	0.83661	0.90266
ENSMUST00000149639_Ddx3x	6	-0.10895	-3.2638	0.028169	0.2	0.0010992	0.020939
ENSMUST00000047655_Slc25a43	6	-0.011206	-0.27736	0.89373	0.94432	0.7815	0.87318
ENSMUST00000016463_Slc25a5	6	0.065442	1.3131	0.081434	0.30577	0.18914	0.42776
ENSMUST00000016452_Ube2a	6	0.030441	0.56278	0.33649	0.57807	0.57359	0.75503
ENSMUST00000113043_Mum1l1	6	-0.078193	-1.4789	0.097823	0.33447	0.13916	0.37222
ENSMUST00000054534_Trap1a	6	-0.046426	-1.2769	0.31729	0.56281	0.20164	0.43989
ENSMUST00000130251_Gm7598	6	-0.010216	-0.29757	0.91549	0.9508	0.76603	0.86474
ENSMUST00000046763_D330045A20Rik	6	0.038536	1.0857	0.24609	0.49664	0.2776	0.5083
ENSMUST00000075983_Ldoc1	6	0.054569	1.8881	0.12394	0.36119	0.059006	0.24778
ENSMUST00000120148_Gm15019	6	-0.0010159	-0.031463	0.89885	0.94435	0.9749	0.99235
ENSMUST00000113026_Rnf128	6	0.094298	1.8194	0.02484	0.18476	0.068857	0.2716
ENSMUST00000120925_Gm7327	6	-0.038392	-0.60123	0.40922	0.63651	0.54768	0.74132
ENSMUST00000096313_Tbc1d8b	6	-0.055288	-1.457	0.23739	0.49309	0.1451	0.38153
ENSMUST00000151989_Bhlhb9	6	-0.033163	-0.6399	0.48476	0.69852	0.52224	0.72317
ENSMUST00000148658_Gprasp2	6	0.037953	1.0405	0.25096	0.5	0.29811	0.52648
ENSMUST00000054889_Cldn2	6	-0.04751	-1.6683	0.3073	0.55346	0.095246	0.31373
ENSMUST00000120342_Gm14656	6	0.03041	0.71072	0.337	0.57807	0.47726	0.68518
ENSMUST00000122164_Gm16411	6	-0.032034	-0.85465	0.49782	0.70344	0.39274	0.6186
ENSMUST00000051414_4933402E13Rik	6	0.070415	1.4801	0.065301	0.27282	0.13884	0.37222
ENSMUST00000096321_Armcx5	6	-0.018923	-0.55619	0.74417	0.85849	0.57808	0.75503
ENSMUST00000033522_3830417A13Rik	6	0.028371	0.7386	0.36236	0.606	0.46015	0.67208
ENSMUST00000058119_Arxes2	6	0.015503	0.32986	0.56671	0.75169	0.74151	0.85668
ENSMUST00000116527_Bex4	6	-0.017245	-0.34488	0.77593	0.8763	0.73018	0.84862
ENSMUST00000207892_Slc9a6	6	-0.062205	-1.5631	0.18617	0.43274	0.11804	0.33736
ENSMUST00000113116_Tceal7	6	-0.082178	-1.8408	0.083739	0.31292	0.065656	0.26296
ENSMUST00000113115_Tceal9	6	0.01079	0.097733	0.65736000000000006	0.79351	0.92214	0.95264
ENSMUST00000177710_Slc25a14	6	-0.033555	-0.99183	0.4781	0.69852	0.32128	0.55147
ENSMUST00000144506_Atp6ap1	6	0.081557	1.3198	0.041485	0.21589	0.1869	0.42753
ENSMUST00000117804_Gm9429	6	0.0014302	0.018474	0.84712	0.92661	0.98526	0.99417
ENSMUST00000178632_Bex3	6	-0.041952	-1.1708	0.36799	0.60926	0.24169	0.47787
ENSMUST00000044702_Frmpd3	6	0.089378	1.3266	0.030474	0.20339	0.18463	0.42635
ENSMUST00000155235_Prps1	6	-0.0059776	-0.17201	0.99795	0.99795	0.86343	0.92123
ENSMUST00000145941_Gm14820	6	0.067907	1.3915	0.074008	0.28756	0.16408	0.4037
ENSMUST00000101695_Tfe3	6	0.072084	1.8464	0.060435	0.26816	0.064839	0.26296
ENSMUST00000133128_Mcts1	6	0.047434	1.0156	0.16825	0.40805	0.30982	0.53652
ENSMUST00000112990_Mid2	6	0.23845	3.0322	2.5608e-4	0.0083333	0.0024278	0.036464
ENSMUST00000139150_Rbmx2	6	0.077753	2.0791	0.047375	0.23086	0.037609	0.19327
ENSMUST00000145580_Gdi1	6	0.079763	1.4899	0.044814	0.22581	0.13624	0.37034
ENSMUST00000117257_Gm6088	6	-0.0093854	-0.23719	0.93035	0.9591	0.81251	0.88751
ENSMUST00000060057_Sowahd	6	0.059381	2.0891	0.10294	0.33782	0.036695	0.19327
ENSMUST00000117155_Gm14567	6	-0.041245	-0.8244	0.37695	0.61201	0.40971	0.63627
ENSMUST00000114160_Fam50a	6	-0.038492	-0.80573	0.40794	0.63593	0.4204	0.64002
ENSMUST00000112971_Atg4a	6	-0.026087	-0.73513	0.60205	0.76737	0.46226	0.6723
ENSMUST00000088546_Fmr1	6	-0.056441	-1.7706	0.22766	0.48712	0.076623	0.28444
ENSMUST00000123120_Gm6787	6	0.066999	2.309	0.076825	0.29268	0.020942	0.13406
ENSMUST00000114772_Fhl1	6	0.10427	1.7353	0.013572	0.15362	0.082683	0.29145
ENSMUST00000120692_Gm8545	6	8.3998e-4	0.02476	0.86146	0.9337	0.98025	0.99296
ENSMUST00000136114_Plxna3	6	-0.06501	-1.2891	0.16748	0.40805	0.19735	0.4354
ENSMUST00000087157_Klhl34	6	-0.0039411	-0.11511	0.95954	0.97529	0.90836	0.94717
ENSMUST00000126843_Gria3	6	-0.040746	-1.0679	0.38156	0.61317	0.28557	0.51697
ENSMUST00000016553_Nkap	6	-0.034992	-0.97447	0.45813	0.68528	0.32982	0.55755999999999994
ENSMUST00000046433_Rnf113a1	6	0.031556	0.80676	0.3219	0.56473	0.41981	0.64002
ENSMUST00000130732_Col4a5	6	-0.1055	-2.9565	0.032522	0.20451	0.0031113	0.04263
ENSMUST00000112491_Rps6ka3	6	-0.018205	-0.46344	0.75903	0.87107	0.64305	0.79718
ENSMUST00000143784_Ikbkg	6	0.05658	1.43	0.11447	0.35038	0.15272	0.38717
ENSMUST00000033744_Atp2b3	6	-0.046317	-1.0985	0.3178	0.56281	0.27198	0.50217
ENSMUST00000087143_Eif1ax	6	0.024491	0.55067	0.42023	0.64558	0.58186	0.75503
ENSMUST00000118873_Gm6382	6	-0.016937	-0.72235	0.78284	0.87719	0.47008	0.67737
ENSMUST00000112471_Map7d2	6	0.11581	2.5726	0.0087068	0.12593	0.010095	0.080456
ENSMUST00000112914_Nxt2	6	0.072774	1.284	0.058387	0.26057	0.19916	0.43569
ENSMUST00000132784_Arhgap36	6	0.04502	1.027	0.1854	0.43224	0.30444	0.53045
ENSMUST00000119345_Gm15186	6	0.010948	0.25351	0.6548	0.79319	0.79987	0.88442
ENSMUST00000154694_A830080D01Rik	6	0.043711	1.1903	0.19744	0.44696	0.23391	0.47115
ENSMUST00000019701_Dusp9	6	-0.64814	-7.6416	0	0	2.1459e-14	5.5866e-12
ENSMUST00000026013_Maoa	6	0.069587	0.98041	0.067606	0.27282	0.32689	0.5562
ENSMUST00000112447_Sh3kbp1	6	-0.049395	-1.6571	0.29014	0.53919	0.0975	0.31431
ENSMUST00000136930_Gripap1	6	-0.077756	-2.5868	0.099616	0.33447	0.0096862	0.078801
ENSMUST00000164449_Slc6a8	6	-0.057538	-1.5118	0.22023	0.47778	0.13058	0.36165
ENSMUST00000151914_Tmem164	6	-0.035549	-1.2646	0.45301	0.6817	0.206	0.44408
ENSMUST00000033665_Map3k15	6	0.18517	2.8959	0.0010243	0.023529	0.0037807	0.049213
ENSMUST00000146874_Xiap	6	-0.20518	-3.7427	0.0010243	0.023529	1.8208e-4	0.0050786
ENSMUST00000123245_Stag2	6	0.10095	3.0512	0.017157	0.16522	0.0022794	0.035605
ENSMUST00000002084_Abcd1	6	0.0050637	0.10987	0.77106	0.8763	0.91251	0.94896
ENSMUST00000112868_Pak3	6	0.089385	2.0842	0.030474	0.20339	0.037146	0.19327
ENSMUST00000130978_Kdm6a	6	0.068882	1.5642	0.06991	0.27437	0.11776	0.33736
ENSMUST00000112400_Adgrg2	6	0.10781	2.3755	0.011012	0.13438	0.017523	0.11953
ENSMUST00000184866_Rhox5	6	-0.023233	-0.75514	0.65608	0.79319	0.45017	0.66087
ENSMUST00000006362_Rhox6	6	0.010501	0.30855	0.66248	0.79723	0.75766	0.86474
ENSMUST00000155096_Plxnb3	6	-0.030751	-0.88899	0.51857	0.72163	0.37401	0.60304
ENSMUST00000033444_Stk26	6	-0.078371	-2.3789	0.097055	0.33447	0.017366	0.11953
ENSMUST00000137286_Dkc1	6	0.098821	1.9593	0.018694	0.16522	0.050081	0.22611
ENSMUST00000002081_Srpk3	6	-0.02342	-0.70667	0.65173	0.79319	0.47977	0.68627
ENSMUST00000115150_Rhox10	6	-1.0281	-9.928	0	0	3.1456e-23	2.4567e-20
ENSMUST00000120793_3110067C02Rik	6	0.040318	0.89732	0.23022	0.49046	0.36955	0.60174
ENSMUST00000132416_Alg13	6	-0.049369	-1.2228	0.29065	0.53919	0.22142	0.46115
ENSMUST00000117131_Rpl3-ps2	6	8.4739e-4	0.020436	0.8612	0.9337	0.9837	0.99388
ENSMUST00000010127_Tktl1	6	-0.13694	-3.0743	0.009475	0.12881	0.0021101	0.033632
ENSMUST00000044138_Chst7	6	-0.10243	-2.6126	0.03662	0.2087	0.0089866	0.077171
ENSMUST00000152730_Rhox13	6	-0.02488	-0.54095	0.62382	0.78202	0.58854	0.76228
ENSMUST00000118349_Zfp36l1-ps	6	-0.10945	-2.7851	0.027913	0.2	0.0053511	0.060568
ENSMUST00000116535_Fam220-ps	6	0.044034	1.1575	0.19385	0.4414	0.24706	0.48118
ENSMUST00000153221_Pfkfb1	6	0.034406	0.69573	0.28758	0.53861	0.4866	0.69349
ENSMUST00000115142_Zbtb33	6	-0.11446	-2.7489	0.021511	0.17143	0.0059799	0.063112
ENSMUST00000033541_Fundc2	6	-0.037629	-1.1389	0.42074	0.64558	0.25474	0.49004
ENSMUST00000197237_Tex13c2	6	-0.058969	-2.3707	0.20743	0.45763	0.017754	0.11953
ENSMUST00000002090_Ssr4	6	-0.096219	-1.8233	0.047631	0.23086	0.068251	0.27058
ENSMUST00000005839_Sh2d1a	6	-0.026502	-0.55342	0.59667	0.76737	0.57998	0.75503
ENSMUST00000155206_Trpc5os	6	0.02345	0.42215	0.43867	0.66524	0.67291	0.81988
ENSMUST00000210331_Gm45800	6	-0.054724	-1.5661	0.24353	0.49661	0.11734	0.33736
ENSMUST00000033372_Rp2	6	-0.071002	-1.3501	0.13367	0.38036	0.17698	0.41507
ENSMUST00000148522_Gm14817	6	-0.016224	-0.38173	0.79565	0.88519	0.70266	0.83401
ENSMUST00000112377_Phka2	6	-0.026618	-0.7767	0.59462	0.76667	0.43734	0.65037
ENSMUST00000121768_Tpt1-ps6	6	-0.02374	-0.82427	0.64328	0.79243	0.40978	0.63627
ENSMUST00000069731_Fmr1nb	6	0.016113	0.45348	0.55365	0.7468	0.6502	0.8035
ENSMUST00000163399_8030474K03Rik	6	-0.046109	-1.2855	0.32036	0.56473	0.1986	0.43569
ENSMUST00000129185_Nhsl2	6	-0.077687	-1.7335	0.099872	0.33447	0.083008	0.29145
ENSMUST00000033544_Brcc3	6	0.027413	0.66183	0.37721	0.61201	0.50808	0.71113
ENSMUST00000136093_Jade3	6	-0.0092565	-0.19686	0.93214	0.95916	0.84393	0.90537
ENSMUST00000112831_Htr2c	6	-0.1565	-3.9902	0.0040973	0.069565	6.6008e-5	0.002148
ENSMUST00000033532_Aff2	6	-0.077217	-1.6072	0.10192	0.33586	0.108	0.32443
ENSMUST00000122019_Gm14538	6	-0.037334	-0.97595	0.4251	0.64717	0.32909	0.55752
ENSMUST00000133616_Rbm3os	6	0.027141	0.88242	0.38131	0.61317	0.37755	0.60495
ENSMUST00000113627_Pin4	6	-0.030213	-0.66293	0.52855	0.72548	0.50737	0.71113
ENSMUST00000033765_Avpr2	6	0.098786	1.9032	0.018694	0.16522	0.057011	0.24465
ENSMUST00000144761_Gm14858	6	-0.091025	-2.6006	0.057106	0.2578	0.009307	0.077171
ENSMUST00000023832_Rgn	6	-0.023471	-0.58393	0.65096	0.79319	0.55927	0.74886
ENSMUST00000118725_Gm15385	6	-9.2241e-4	-0.013321	0.89757	0.94435	0.98937	0.99703
ENSMUST00000075654_1700020N15Rik	6	0.015815	0.38962	0.5598	0.7506	0.69682	0.83081
ENSMUST00000114070_Vbp1	6	-0.037855	-1.0276	0.41767	0.64339	0.30415	0.53045
ENSMUST00000150123_Zc3h12b	6	-0.088836	-2.1033	0.064789	0.27282	0.035444	0.19259
ENSMUST00000152648_Gm15063	6	0.075479	0.55947	0.051729	0.24337	0.57584	0.75503
ENSMUST00000033650_Rs1	6	-0.048715	-1.123	0.29654	0.5446	0.26144	0.49319
ENSMUST00000115374_Rbm10	6	0.033483	0.98726	0.30166	0.54918	0.32352	0.55409
ENSMUST00000053981_1110012L19Rik	6	0.0407	1.0052	0.22586	0.48595	0.31481	0.54156
ENSMUST00000103007_Nudt11	6	0.046314	1.3733	0.17542	0.41768	0.16967	0.40635
ENSMUST00000026296_Fgd1	6	0.032574	1.0581	0.31165	0.55571	0.29001	0.51829
ENSMUST00000103005_Shroom4	6	0.034248	1.0612	0.28937	0.53919	0.2886	0.51697
ENSMUST00000077375_Scml2	6	0.057378	1.4693	0.11063	0.3464	0.14174	0.37526
ENSMUST00000207800_Gm15262	6	0.017898	0.52908	0.52369	0.72261	0.59675	0.76654
ENSMUST00000096424_Emd	6	0.011623	0.38182	0.64328	0.79243	0.70259	0.83401
ENSMUST00000151778_Gm15138	6	0.048308	1.3926	0.16082	0.40757	0.16373	0.4037
ENSMUST00000146584_Rpl10	6	0.060014	1.8881	0.10064	0.33447	0.059009	0.24778
ENSMUST00000184730_Wnk3	6	0.008172	0.1903	0.70781	0.83379	0.84907	0.90839
ENSMUST00000118642_Gm7331	6	-0.032828	-0.87924	0.48886	0.70165	0.37927	0.60575
ENSMUST00000073364_Fam120c	6	-0.088101	-1.7155	0.067606	0.27282	0.086254	0.29681
ENSMUST00000082088_Mamld1	6	0.086105	1.9367	0.033547	0.20451	0.05278	0.23289
ENSMUST00000033720_Rbbp7	6	0.044445	1.2657	0.19052	0.43743	0.20562	0.44408
ENSMUST00000131116_Taz	6	-0.0093565	-0.25067	0.93086	0.9591	0.80207	0.88442
ENSMUST00000145302_Dgkk	6	-0.029697	-0.82835	0.53854	0.73403	0.40747	0.63584
ENSMUST00000114617_Mtm1	6	-0.017054	-0.40205	0.77977	0.87719	0.68764	0.82623
ENSMUST00000117399_Msn	6	-0.0062892	-0.24028	0.99027	0.99332	0.81011	0.88613
ENSMUST00000112666_Phf8	6	-0.10116	-2.8527	0.039181	0.21477	0.0043346	0.053102
ENSMUST00000079322_Heph	6	0.028572	0.83569	0.36056	0.60472	0.40333	0.63126
ENSMUST00000130694_Uba1	6	-0.11646	-2.8025	0.020743	0.16875	0.0050701	0.059101
ENSMUST00000114601_Mtmr1	6	-0.099551	-2.6022	0.041741	0.21589	0.0092624	0.077171
ENSMUST00000128858_Gm14379	6	0.061901	0.73747	0.093982	0.33447	0.46084	0.67208
ENSMUST00000133051_Huwe1	6	-0.15619	-3.0171	0.0040973	0.069565	0.0025524	0.037426
ENSMUST00000033689_Cdx4	6	0.35816	4.6199	0	0	3.8388e-6	1.9987e-4
ENSMUST00000116547_Chic1	6	-0.01006	-0.21647	0.91933	0.95352	0.82862	0.89882
ENSMUST00000211291_Tsix	6	-0.014849	-0.43697	0.82356	0.90592	0.66213	0.81437
ENSMUST00000033691_Tsx	6	-0.010222	-0.30514	0.91549	0.9508	0.76026	0.86474
ENSMUST00000052837_Ar	6	-0.075915	-1.7934	0.10935	0.34575	0.072903	0.27911
ENSMUST00000121980_Rps12-ps1	6	0.085594	2.0703	0.034315	0.20451	0.038426	0.19487
ENSMUST00000181020_Jpx	6	0.37892	5.0448	0	0	4.541e-7	3.9406e-5
ENSMUST00000115740_Foxp3	6	0.033956	1.085	0.29501	0.5446	0.2779	0.5083
ENSMUST00000144719_Ppp1r3fos	6	0.0016026	0.050065	0.84251	0.92426	0.96007	0.98143
ENSMUST00000140479_Yipf6	6	-0.063198	-2.2964	0.17772	0.42061	0.021651	0.13748
ENSMUST00000087867_Uprt	6	-0.060047	-0.72069	0.2023	0.45387	0.4711	0.67759
ENSMUST00000122247_Gm14822	6	0.056173	1.1209	0.11677	0.35038	0.26231	0.49321
ENSMUST00000122012_Gm6285	6	0.063307	1.2588	0.089373	0.3277	0.20811	0.44408
ENSMUST00000036606_Stard8	6	-0.14164	-3.0874	0.0076825	0.11321	0.0020193	0.033555
ENSMUST00000117933_Gm15191	6	-0.011697	-0.20551	0.88656	0.94432	0.83717	0.90266
ENSMUST00000033512_Slc38a5	6	0.022757	0.43317	0.44738	0.67452	0.66489	0.81455
ENSMUST00000151200_Hsd17b10	6	-0.04061	-1.0259	0.38335	0.61478	0.30496	0.53045
ENSMUST00000033577_Pbdc1	6	0.013858	0.29772	0.60154	0.76737	0.76592	0.86474
ENSMUST00000052839_Efnb1	6	-0.026135	-0.77272	0.60128	0.76737	0.43969	0.65037
ENSMUST00000033578_Magee1	6	-3.0267e-4	-0.008382	0.88451	0.94372	0.99331	0.99716
ENSMUST00000120712_Gm6292	6	-0.062348	-1.6759	0.18412	0.43054	0.09376	0.31028
ENSMUST00000096363_Tmem28	6	0.09263	2.2768	0.027401	0.2	0.022801	0.14246
ENSMUST00000124681_Smc1a	6	0.047981	1.1808	0.16338	0.40757	0.23768	0.47115
ENSMUST00000119381_Gm14828	6	-0.027349	-0.72611	0.58233	0.76376	0.46777	0.67535
ENSMUST00000121499_Gm14829	6	0.016268	0.50119	0.55262	0.7468	0.61624	0.77895
ENSMUST00000113779_Eda	6	-0.016232	-0.35485	0.79539	0.88519	0.7227	0.84385
ENSMUST00000121289_Gm14832	6	0.013574	0.3772	0.60819	0.77236	0.70603	0.83673
ENSMUST00000112605_Iqsec2	6	0.030395	1.0527	0.33752	0.57807	0.29249000000000003	0.52153
ENSMUST00000122944_Cdk16	6	-0.055982	-1.4298	0.23201	0.49239	0.15277	0.38717
ENSMUST00000060241_Otud6a	6	-0.046089	-1.3405	0.32036	0.56473	0.18007	0.41856
ENSMUST00000033570_Igbp1	6	-0.051518	-1.4389	0.27119	0.52687	0.15018	0.38717
ENSMUST00000033383_Usp11	6	-0.0068769	-0.25468	0.97567	0.98323	0.79897	0.88442
ENSMUST00000140551_Dgat2l6	6	0.015606	0.42614	0.56466	0.75169	0.67001	0.81762
